"","time","S","I","R","Date","A","Rm","total_infected"
"147",147,7683.53083352056,111.301943543042,33797.1672229364,2021-08-28,NA,NA,33908.4691664794
"148",148,7679.63764387177,105.902199628972,33806.4601564992,2021-08-29,NA,NA,33912.3623561282
"149",149,7675.93519411432,100.762635023397,33815.3021708623,2021-08-30,NA,NA,33916.0648058857
"150",150,7672.4141156587,95.870883904309,33823.715000437,2021-08-31,NA,NA,33919.5858843413
"151",151,7669.06550226643,91.2151518113305,33831.7193459222,2021-09-01,NA,NA,33922.9344977336
"152",152,7665.88088703189,86.7841908316849,33839.3349221364,2021-09-02,NA,NA,33926.1191129681
"153",153,7662.85222052808,82.5672757065466,33846.5805037654,2021-09-03,NA,NA,33929.1477794719
"154",154,7659.97185005579,78.5541808401169,33853.4739691041,2021-09-04,NA,NA,33932.0281499442
"155",155,7657.2324999392,74.7351581921081,33860.0323418687,2021-09-05,NA,NA,33934.7675000608
"156",156,7654.62725281365,71.1009160329582,33866.2718311534,2021-09-06,NA,NA,33937.3727471863
"157",157,7652.14953185471,67.6425985400218,33872.2078696053,2021-09-07,NA,NA,33939.8504681453
"158",158,7649.79308389984,64.3517662121458,33877.855149888,2021-09-08,NA,NA,33942.2069161002
"159",159,7647.55196341693,61.220377079418,33883.2276595037,2021-09-09,NA,NA,33944.4480365831
"160",160,7645.4205172764,58.2407686844473,33888.3387140392,2021-09-10,NA,NA,33946.5794827236
"161",161,7643.39337028558,55.4056408112677,33893.2009889032,2021-09-11,NA,NA,33948.6066297144
"162",162,7641.46541144654,52.7080389378379,33897.8265496156,2021-09-12,NA,NA,33950.5345885535
"163",163,7639.63178090049,50.141338388112,33902.2268807114,2021-09-13,NA,NA,33952.3682190995
"164",164,7637.88785752384,47.6992291597692,33906.4129133164,2021-09-14,NA,NA,33954.1121424762
"165",165,7636.22924714265,45.3757014038956,33910.3950514535,2021-09-15,NA,NA,33955.7707528574
"166",166,7634.65177133442,43.1650315331987,33914.1831971324,2021-09-16,NA,NA,33957.3482286656
"167",167,7633.15145678708,41.0617689356825,33917.7867742773,2021-09-17,NA,NA,33958.8485432129
"168",168,7631.72452518736,39.0607232711256,33921.2147515415,2021-09-18,NA,NA,33960.2754748127
"169",169,7630.36738361161,37.1569523281581,33924.4756640603,2021-09-19,NA,NA,33961.6326163884
"170",170,7629.07661539372,35.3457504202267,33927.5776341861,2021-09-20,NA,NA,33962.9233846063
"171",171,7627.84897144631,33.6226372992652,33930.5283912544,2021-09-21,NA,NA,33964.1510285537
